date,fips,county,state,deaths,cases,PR_State
2021-04-13,01001,Autauga ,AL,103,6734,US
2021-04-13,01003,Baldwin ,AL,300,20652,US
2021-04-13,01005,Barbour ,AL,55,2252,US
2021-04-13,01007,Bibb ,AL,59,2564,US
2021-04-13,01009,Blount ,AL,135,6497,US
2021-04-13,01011,Bullock ,AL,40,1213,US
2021-04-13,01013,Butler ,AL,66,2125,US
2021-04-13,01015,Calhoun ,AL,311,14301,US
2021-04-13,01017,Chambers ,AL,122,3503,US
2021-04-13,01019,Cherokee ,AL,44,1821,US
2021-04-13,01021,Chilton ,AL,109,4087,US
2021-04-13,01023,Choctaw ,AL,24,587,US
2021-04-13,01025,Clarke ,AL,60,3465,US
2021-04-13,01027,Clay ,AL,55,1495,US
2021-04-13,01029,Cleburne ,AL,41,1462,US
2021-04-13,01031,Coffee ,AL,112,5404,US
2021-04-13,01033,Colbert ,AL,130,6210,US
2021-04-13,01035,Conecuh ,AL,28,1091,US
2021-04-13,01037,Coosa ,AL,28,993,US
2021-04-13,01039,Covington ,AL,114,4056,US
2021-04-13,01041,Crenshaw ,AL,57,1492,US
2021-04-13,01043,Cullman ,AL,188,9481,US
2021-04-13,01045,Dale ,AL,110,4766,US
2021-04-13,01047,Dallas ,AL,149,3531,US
2021-04-13,01049,DeKalb ,AL,181,8748,US
2021-04-13,01051,Elmore ,AL,200,10001,US
2021-04-13,01053,Escambia ,AL,74,3885,US
2021-04-13,01055,Etowah ,AL,346,13665,US
2021-04-13,01057,Fayette ,AL,60,2092,US
2021-04-13,01059,Franklin ,AL,82,4199,US
2021-04-13,01061,Geneva ,AL,75,2458,US
2021-04-13,01063,Greene ,AL,34,910,US
2021-04-13,01065,Hale ,AL,75,2187,US
2021-04-13,01067,Henry ,AL,44,1877,US
2021-04-13,01069,Houston ,AL,278,10381,US
2021-04-13,01071,Jackson ,AL,110,6762,US
2021-04-13,01073,Jefferson ,AL,1487,75409,US
2021-04-13,01075,Lamar ,AL,34,1393,US
2021-04-13,01077,Lauderdale ,AL,227,9223,US
2021-04-13,01079,Lawrence ,AL,95,2953,US
2021-04-13,01081,Lee ,AL,165,15541,US
2021-04-13,01083,Limestone ,AL,147,9822,US
2021-04-13,01085,Lowndes ,AL,53,1365,US
2021-04-13,01087,Macon ,AL,48,1548,US
2021-04-13,01089,Madison ,AL,495,33898,US
2021-04-13,01091,Marengo ,AL,61,2486,US
2021-04-13,01093,Marion ,AL,100,3066,US
2021-04-13,01095,Marshall ,AL,219,11967,US
