Month_Year,state,county,deaths,cases,PR_State
2020-04-02,AK,Aleutians East Borough ,0,0,US
2020-04-02,AK,Aleutians West Census Area ,0,0,US
2020-04-02,AK,Bethel Census Area ,0,4,US
2020-04-02,AK,Bristol Bay Borough ,0,0,US
2020-04-02,AK,City and Borough of Juneau,0,108,US
2020-04-02,AK,City and Borough of Sitka,0,4,US
2020-04-02,AK,City and Borough of Wrangell,0,0,US
2020-04-02,AK,City and Borough of Yakutat,0,0,US
2020-04-02,AK,Denali Borough ,0,0,US
2020-04-02,AK,Dillingham Census Area ,0,0,US
2020-04-02,AK,Fairbanks North Star Borough ,8,323,US
2020-04-02,AK,Haines Borough ,0,0,US
2020-04-02,AK,Hoonah-Angoon Census Area ,0,0,US
2020-04-02,AK,Kenai Peninsula Borough ,4,76,US
2020-04-02,AK,Ketchikan Gateway Borough ,0,64,US
2020-04-02,AK,Kodiak Island Borough ,0,4,US
2020-04-02,AK,Kusilvak Census Area ,0,0,US
2020-04-02,AK,Lake and Peninsula Borough ,0,0,US
2020-04-02,AK,Matanuska-Susitna Borough ,4,84,US
2020-04-02,AK,Municipality of Anchorage,16,704,US
2020-04-02,AK,Municipality of Skagway,0,0,US
2020-04-02,AK,Nome Census Area ,0,4,US
2020-04-02,AK,North Slope Borough ,0,0,US
2020-04-02,AK,Northwest Arctic Borough ,0,0,US
2020-04-02,AK,Petersburg Borough ,4,15,US
2020-04-02,AK,Prince of Wales - Hyder Census Area ,0,8,US
2020-04-02,AK,Southeast Fairbanks Census Area ,0,4,US
2020-04-02,AK,Valdez-Cordova Census Area ,0,0,US
2020-04-02,AK,Yukon-Koyukuk Census Area ,0,4,US
2020-04-02,AL,Autauga ,12,163,US
2020-04-02,AL,Baldwin ,9,686,US
2020-04-02,AL,Barbour ,2,148,US
2020-04-02,AL,Bibb ,0,168,US
2020-04-02,AL,Blount ,0,141,US
2020-04-02,AL,Bullock ,0,49,US
2020-04-02,AL,Butler ,4,183,US
2020-04-02,AL,Calhoun ,12,368,US
2020-04-02,AL,Chambers ,79,1159,US
2020-04-02,AL,Cherokee ,0,59,US
2020-04-02,AL,Chilton ,4,207,US
2020-04-02,AL,Choctaw ,0,160,US
2020-04-02,AL,Clarke ,4,118,US
2020-04-02,AL,Clay ,4,80,US
2020-04-02,AL,Cleburne ,4,48,US
2020-04-02,AL,Coffee ,0,421,US
2020-04-02,AL,Colbert ,8,108,US
2020-04-02,AL,Conecuh ,0,36,US
2020-04-02,AL,Coosa ,4,116,US
2020-04-02,AL,Covington ,4,141,US
2020-04-02,AL,Crenshaw ,0,64,US
2020-04-02,AL,Cullman ,0,214,US
2020-04-02,AL,Dale ,0,102,US
2020-04-02,AL,Dallas ,12,149,US
2020-04-02,AL,DeKalb ,8,302,US
2020-04-02,AL,Elmore ,6,331,US
2020-04-02,AL,Escambia ,4,108,US
2020-04-02,AL,Etowah ,33,534,US
2020-04-02,AL,Fayette ,0,22,US
2020-04-02,AL,Franklin ,0,190,US
