,Month_Year,State,County,value,PR_State
0,2020-04-01,AK,Aleutians East Borough ,0,US
1,2020-04-01,AK,Aleutians West Census Area ,0,US
2,2020-04-01,AK,Bethel Census Area ,0,US
3,2020-04-01,AK,Bristol Bay Borough ,0,US
4,2020-04-01,AK,City and Borough of Juneau,0,US
5,2020-04-01,AK,City and Borough of Sitka,0,US
6,2020-04-01,AK,City and Borough of Wrangell,0,US
7,2020-04-01,AK,City and Borough of Yakutat,0,US
8,2020-04-01,AK,Denali Borough ,0,US
9,2020-04-01,AK,Dillingham Census Area ,0,US
10,2020-04-01,AK,Fairbanks North Star Borough ,22,US
11,2020-04-01,AK,Haines Borough ,0,US
12,2020-04-01,AK,Hoonah-Angoon Census Area ,0,US
13,2020-04-01,AK,Kenai Peninsula Borough ,11,US
14,2020-04-01,AK,Ketchikan Gateway Borough ,0,US
15,2020-04-01,AK,Kodiak Island Borough ,0,US
16,2020-04-01,AK,Kusilvak Census Area ,0,US
17,2020-04-01,AK,Lake and Peninsula Borough ,0,US
18,2020-04-01,AK,Matanuska-Susitna Borough ,11,US
19,2020-04-01,AK,Municipality of Anchorage,44,US
20,2020-04-01,AK,Municipality of Skagway,0,US
21,2020-04-01,AK,Nome Census Area ,0,US
22,2020-04-01,AK,North Slope Borough ,0,US
23,2020-04-01,AK,Northwest Arctic Borough ,0,US
24,2020-04-01,AK,Petersburg Borough ,11,US
25,2020-04-01,AK,Prince of Wales - Hyder Census Area ,0,US
26,2020-04-01,AK,Southeast Fairbanks Census Area ,0,US
27,2020-04-01,AK,Valdez-Cordova Census Area ,0,US
28,2020-04-01,AK,Yukon-Koyukuk Census Area ,0,US
29,2020-04-01,AL,Autauga,23,US
30,2020-04-01,AL,Baldwin,22,US
31,2020-04-01,AL,Barbour,2,US
32,2020-04-01,AL,Bibb,0,US
33,2020-04-01,AL,Blount,0,US
34,2020-04-01,AL,Bullock,0,US
35,2020-04-01,AL,Butler,5,US
36,2020-04-01,AL,Calhoun,32,US
37,2020-04-01,AL,Chambers,188,US
38,2020-04-01,AL,Cherokee,0,US
39,2020-04-01,AL,Chilton,8,US
40,2020-04-01,AL,Choctaw,0,US
41,2020-04-01,AL,Clarke,10,US
42,2020-04-01,AL,Clay,8,US
43,2020-04-01,AL,Cleburne,9,US
44,2020-04-01,AL,Coffee,0,US
45,2020-04-01,AL,Colbert,18,US
46,2020-04-01,AL,Conecuh,0,US
47,2020-04-01,AL,Coosa,11,US
48,2020-04-01,AL,Covington,5,US
49,2020-04-01,AL,Crenshaw,0,US
50,2020-04-01,AL,Cullman,0,US
51,2020-04-01,AL,Dale,0,US
52,2020-04-01,AL,Dallas,26,US
53,2020-04-01,AL,DeKalb,22,US
54,2020-04-01,AL,Elmore,13,US
55,2020-04-01,AL,Escambia,9,US
56,2020-04-01,AL,Etowah,87,US
57,2020-04-01,AL,Fayette,0,US
58,2020-04-01,AL,Franklin,0,US
59,2020-04-01,AL,Geneva,0,US
60,2020-04-01,AL,Greene,3,US
61,2020-04-01,AL,Hale,14,US
62,2020-04-01,AL,Henry,7,US
63,2020-04-01,AL,Houston,30,US
64,2020-04-01,AL,Jackson,22,US
65,2020-04-01,AL,Jefferson,358,US
66,2020-04-01,AL,Lamar,0,US
67,2020-04-01,AL,Lauderdale,22,US
68,2020-04-01,AL,Lawrence,0,US
69,2020-04-01,AL,Lee,235,US
70,2020-04-01,AL,Limestone,0,US
71,2020-04-01,AL,Lowndes,8,US
72,2020-04-01,AL,Macon,22,US
73,2020-04-01,AL,Madison,44,US
74,2020-04-01,AL,Marengo,29,US
75,2020-04-01,AL,Marion,58,US
76,2020-04-01,AL,Marshall,50,US
77,2020-04-01,AL,Mobile,435,US
78,2020-04-01,AL,Monroe,11,US
79,2020-04-01,AL,Montgomery,44,US
80,2020-04-01,AL,Morgan,0,US
81,2020-04-01,AL,Perry,0,US
82,2020-04-01,AL,Pickens,9,US
83,2020-04-01,AL,Pike,0,US
84,2020-04-01,AL,Randolph,41,US
85,2020-04-01,AL,Russell,0,US
86,2020-04-01,AL,Shelby,91,US
87,2020-04-01,AL,St. Clair,0,US
88,2020-04-01,AL,Sumter,13,US
89,2020-04-01,AL,Talladega,20,US
90,2020-04-01,AL,Tallapoosa,171,US
91,2020-04-01,AL,Tuscaloosa,2,US
92,2020-04-01,AL,Walker,0,US
93,2020-04-01,AL,Washington,11,US
94,2020-04-01,AL,Wilcox,8,US
95,2020-04-01,AL,Winston,0,US
96,2020-04-01,AR,Arkansas,0,US
97,2020-04-01,AR,Ashley,0,US
98,2020-04-01,AR,Baxter,0,US
99,2020-04-01,AR,Benton,0,US
100,2020-04-01,AR,Boone,0,US
101,2020-04-01,AR,Bradley,11,US
102,2020-04-01,AR,Calhoun,0,US
103,2020-04-01,AR,Carroll,0,US
104,2020-04-01,AR,Chicot,0,US
105,2020-04-01,AR,Clark,0,US
106,2020-04-01,AR,Clay,0,US
107,2020-04-01,AR,Cleburne,44,US
108,2020-04-01,AR,Cleveland,0,US
109,2020-04-01,AR,Columbia,0,US
110,2020-04-01,AR,Conway,11,US
111,2020-04-01,AR,Craighead,0,US
112,2020-04-01,AR,Crawford,0,US
113,2020-04-01,AR,Crittenden,55,US
114,2020-04-01,AR,Cross,0,US
115,2020-04-01,AR,Dallas,0,US
116,2020-04-01,AR,Desha,0,US
117,2020-04-01,AR,Drew,11,US
118,2020-04-01,AR,Faulkner,22,US
119,2020-04-01,AR,Franklin,0,US
120,2020-04-01,AR,Fulton,0,US
121,2020-04-01,AR,Garland,0,US
122,2020-04-01,AR,Grant,0,US
123,2020-04-01,AR,Greene,0,US
124,2020-04-01,AR,Hempstead,11,US
125,2020-04-01,AR,Hot Spring,0,US
126,2020-04-01,AR,Howard,0,US
127,2020-04-01,AR,Independence,0,US
128,2020-04-01,AR,Izard,0,US
129,2020-04-01,AR,Jackson,0,US
130,2020-04-01,AR,Jefferson,101,US
131,2020-04-01,AR,Johnson,0,US
132,2020-04-01,AR,Lafayette,5,US
133,2020-04-01,AR,Lawrence,12,US
134,2020-04-01,AR,Lee,11,US
135,2020-04-01,AR,Lincoln,0,US
136,2020-04-01,AR,Little River,0,US
137,2020-04-01,AR,Logan,0,US
138,2020-04-01,AR,Lonoke,0,US
139,2020-04-01,AR,Madison,0,US
140,2020-04-01,AR,Marion,0,US
141,2020-04-01,AR,Miller,9,US
142,2020-04-01,AR,Mississippi,0,US
143,2020-04-01,AR,Monroe,0,US
144,2020-04-01,AR,Montgomery,0,US
145,2020-04-01,AR,Nevada,0,US
146,2020-04-01,AR,Newton,0,US
147,2020-04-01,AR,Ouachita,0,US
148,2020-04-01,AR,Perry,0,US
149,2020-04-01,AR,Phillips,11,US
150,2020-04-01,AR,Pike,0,US
151,2020-04-01,AR,Poinsett,3,US
152,2020-04-01,AR,Polk,0,US
153,2020-04-01,AR,Pope,0,US
154,2020-04-01,AR,Prairie,0,US
155,2020-04-01,AR,Pulaski,154,US
156,2020-04-01,AR,Randolph,0,US
157,2020-04-01,AR,Saline,11,US
158,2020-04-01,AR,Scott,0,US
159,2020-04-01,AR,Searcy,0,US
160,2020-04-01,AR,Sebastian,0,US
161,2020-04-01,AR,Sevier,2,US
162,2020-04-01,AR,Sharp,0,US
163,2020-04-01,AR,St. Francis,0,US
164,2020-04-01,AR,Stone,0,US
165,2020-04-01,AR,Union,0,US
166,2020-04-01,AR,Van Buren,22,US
167,2020-04-01,AR,Washington,23,US
168,2020-04-01,AR,White,11,US
169,2020-04-01,AR,Woodruff,0,US
170,2020-04-01,AR,Yell,0,US
171,2020-04-01,AZ,Apache,55,US
172,2020-04-01,AZ,Cochise,0,US
173,2020-04-01,AZ,Coconino,388,US
174,2020-04-01,AZ,Gila,0,US
175,2020-04-01,AZ,Graham,0,US
176,2020-04-01,AZ,Greenlee,0,US
177,2020-04-01,AZ,La Paz,0,US
178,2020-04-01,AZ,Maricopa,1277,US
179,2020-04-01,AZ,Mohave,46,US
180,2020-04-01,AZ,Navajo,176,US
181,2020-04-01,AZ,Pima,801,US
182,2020-04-01,AZ,Pinal,97,US
183,2020-04-01,AZ,Santa Cruz,0,US
184,2020-04-01,AZ,Yavapai,13,US
185,2020-04-01,AZ,Yuma,11,US
186,2020-04-01,CA,Alameda,552,PR
187,2020-04-01,CA,Alpine,0,PR
188,2020-04-01,CA,Amador,0,PR
189,2020-04-01,CA,Butte,0,PR
