,Month_Year,State,County,value,PR_State
0,2020-04-01,AK,Aleutians East Borough ,0,US
1,2020-04-01,AK,Aleutians West Census Area ,0,US
2,2020-04-01,AK,Bethel Census Area ,11,US
3,2020-04-01,AK,Bristol Bay Borough ,0,US
4,2020-04-01,AK,City and Borough of Juneau,293,US
5,2020-04-01,AK,City and Borough of Sitka,5,US
6,2020-04-01,AK,City and Borough of Wrangell,0,US
7,2020-04-01,AK,City and Borough of Yakutat,0,US
8,2020-04-01,AK,Denali Borough ,0,US
9,2020-04-01,AK,Dillingham Census Area ,0,US
10,2020-04-01,AK,Fairbanks North Star Borough ,877,US
11,2020-04-01,AK,Haines Borough ,0,US
12,2020-04-01,AK,Hoonah-Angoon Census Area ,0,US
13,2020-04-01,AK,Kenai Peninsula Borough ,209,US
14,2020-04-01,AK,Ketchikan Gateway Borough ,175,US
15,2020-04-01,AK,Kodiak Island Borough ,11,US
16,2020-04-01,AK,Kusilvak Census Area ,0,US
17,2020-04-01,AK,Lake and Peninsula Borough ,0,US
18,2020-04-01,AK,Matanuska-Susitna Borough ,222,US
19,2020-04-01,AK,Municipality of Anchorage,1853,US
20,2020-04-01,AK,Municipality of Skagway,0,US
21,2020-04-01,AK,Nome Census Area ,11,US
22,2020-04-01,AK,North Slope Borough ,0,US
23,2020-04-01,AK,Northwest Arctic Borough ,0,US
24,2020-04-01,AK,Petersburg Borough ,36,US
25,2020-04-01,AK,Prince of Wales - Hyder Census Area ,22,US
26,2020-04-01,AK,Southeast Fairbanks Census Area ,11,US
27,2020-04-01,AK,Valdez-Cordova Census Area ,0,US
28,2020-04-01,AK,Yukon-Koyukuk Census Area ,11,US
29,2020-04-01,AL,Autauga,396,US
30,2020-04-01,AL,Baldwin,1663,US
31,2020-04-01,AL,Barbour,355,US
32,2020-04-01,AL,Bibb,405,US
33,2020-04-01,AL,Blount,345,US
34,2020-04-01,AL,Bullock,130,US
35,2020-04-01,AL,Butler,329,US
36,2020-04-01,AL,Calhoun,973,US
37,2020-04-01,AL,Chambers,3071,US
38,2020-04-01,AL,Cherokee,145,US
39,2020-04-01,AL,Chilton,536,US
40,2020-04-01,AL,Choctaw,322,US
41,2020-04-01,AL,Clarke,288,US
42,2020-04-01,AL,Clay,213,US
43,2020-04-01,AL,Cleburne,132,US
44,2020-04-01,AL,Coffee,976,US
45,2020-04-01,AL,Colbert,251,US
46,2020-04-01,AL,Conecuh,99,US
47,2020-04-01,AL,Coosa,302,US
48,2020-04-01,AL,Covington,343,US
49,2020-04-01,AL,Crenshaw,121,US
50,2020-04-01,AL,Cullman,536,US
51,2020-04-01,AL,Dale,261,US
52,2020-04-01,AL,Dallas,359,US
53,2020-04-01,AL,DeKalb,712,US
54,2020-04-01,AL,Elmore,850,US
55,2020-04-01,AL,Escambia,249,US
56,2020-04-01,AL,Etowah,1349,US
57,2020-04-01,AL,Fayette,51,US
58,2020-04-01,AL,Franklin,384,US
59,2020-04-01,AL,Geneva,74,US
60,2020-04-01,AL,Greene,476,US
61,2020-04-01,AL,Hale,430,US
62,2020-04-01,AL,Henry,237,US
63,2020-04-01,AL,Houston,863,US
64,2020-04-01,AL,Jackson,486,US
65,2020-04-01,AL,Jefferson,8841,US
66,2020-04-01,AL,Lamar,104,US
67,2020-04-01,AL,Lauderdale,312,US
68,2020-04-01,AL,Lawrence,128,US
69,2020-04-01,AL,Lee,3897,US
70,2020-04-01,AL,Limestone,451,US
71,2020-04-01,AL,Lowndes,457,US
72,2020-04-01,AL,Macon,343,US
73,2020-04-01,AL,Madison,2316,US
74,2020-04-01,AL,Marengo,443,US
75,2020-04-01,AL,Marion,776,US
76,2020-04-01,AL,Marshall,2970,US
77,2020-04-01,AL,Mobile,9654,US
78,2020-04-01,AL,Monroe,117,US
79,2020-04-01,AL,Montgomery,3088,US
80,2020-04-01,AL,Morgan,641,US
81,2020-04-01,AL,Perry,99,US
82,2020-04-01,AL,Pickens,498,US
83,2020-04-01,AL,Pike,637,US
84,2020-04-01,AL,Randolph,657,US
85,2020-04-01,AL,Russell,580,US
86,2020-04-01,AL,Shelby,3288,US
87,2020-04-01,AL,St. Clair,710,US
88,2020-04-01,AL,Sumter,562,US
89,2020-04-01,AL,Talladega,605,US
90,2020-04-01,AL,Tallapoosa,2838,US
91,2020-04-01,AL,Tuscaloosa,2012,US
92,2020-04-01,AL,Walker,1002,US
93,2020-04-01,AL,Washington,262,US
94,2020-04-01,AL,Wilcox,608,US
95,2020-04-01,AL,Winston,122,US
96,2020-04-01,AR,Arkansas,22,US
97,2020-04-01,AR,Ashley,144,US
98,2020-04-01,AR,Baxter,55,US
99,2020-04-01,AR,Benton,907,US
100,2020-04-01,AR,Boone,43,US
101,2020-04-01,AR,Bradley,88,US
102,2020-04-01,AR,Calhoun,0,US
103,2020-04-01,AR,Carroll,38,US
104,2020-04-01,AR,Chicot,88,US
105,2020-04-01,AR,Clark,301,US
106,2020-04-01,AR,Clay,20,US
107,2020-04-01,AR,Cleburne,788,US
108,2020-04-01,AR,Cleveland,100,US
109,2020-04-01,AR,Columbia,82,US
110,2020-04-01,AR,Conway,106,US
111,2020-04-01,AR,Craighead,664,US
112,2020-04-01,AR,Crawford,44,US
113,2020-04-01,AR,Crittenden,1818,US
114,2020-04-01,AR,Cross,141,US
115,2020-04-01,AR,Dallas,11,US
116,2020-04-01,AR,Desha,150,US
117,2020-04-01,AR,Drew,124,US
118,2020-04-01,AR,Faulkner,769,US
119,2020-04-01,AR,Franklin,15,US
120,2020-04-01,AR,Fulton,8,US
121,2020-04-01,AR,Garland,1227,US
122,2020-04-01,AR,Grant,128,US
123,2020-04-01,AR,Greene,151,US
124,2020-04-01,AR,Hempstead,55,US
125,2020-04-01,AR,Hot Spring,122,US
126,2020-04-01,AR,Howard,143,US
127,2020-04-01,AR,Independence,95,US
128,2020-04-01,AR,Izard,39,US
129,2020-04-01,AR,Jackson,11,US
130,2020-04-01,AR,Jefferson,1645,US
131,2020-04-01,AR,Johnson,294,US
132,2020-04-01,AR,Lafayette,64,US
133,2020-04-01,AR,Lawrence,434,US
134,2020-04-01,AR,Lee,33,US
135,2020-04-01,AR,Lincoln,7135,US
136,2020-04-01,AR,Little River,0,US
137,2020-04-01,AR,Logan,22,US
138,2020-04-01,AR,Lonoke,374,US
139,2020-04-01,AR,Madison,11,US
140,2020-04-01,AR,Marion,11,US
141,2020-04-01,AR,Miller,350,US
142,2020-04-01,AR,Mississippi,130,US
143,2020-04-01,AR,Monroe,44,US
144,2020-04-01,AR,Montgomery,3,US
145,2020-04-01,AR,Nevada,11,US
146,2020-04-01,AR,Newton,30,US
147,2020-04-01,AR,Ouachita,59,US
148,2020-04-01,AR,Perry,55,US
149,2020-04-01,AR,Phillips,44,US
150,2020-04-01,AR,Pike,31,US
151,2020-04-01,AR,Poinsett,170,US
152,2020-04-01,AR,Polk,77,US
153,2020-04-01,AR,Pope,428,US
154,2020-04-01,AR,Prairie,22,US
155,2020-04-01,AR,Pulaski,5013,US
156,2020-04-01,AR,Randolph,169,US
157,2020-04-01,AR,Saline,597,US
158,2020-04-01,AR,Scott,11,US
159,2020-04-01,AR,Searcy,66,US
160,2020-04-01,AR,Sebastian,131,US
161,2020-04-01,AR,Sevier,116,US
162,2020-04-01,AR,Sharp,36,US
163,2020-04-01,AR,St. Francis,824,US
164,2020-04-01,AR,Stone,77,US
165,2020-04-01,AR,Union,380,US
166,2020-04-01,AR,Van Buren,294,US
167,2020-04-01,AR,Washington,783,US
168,2020-04-01,AR,White,337,US
169,2020-04-01,AR,Woodruff,11,US
170,2020-04-01,AR,Yell,31,US
171,2020-04-01,AZ,Apache,3460,US
172,2020-04-01,AZ,Cochise,375,US
173,2020-04-01,AZ,Coconino,4420,US
174,2020-04-01,AZ,Gila,118,US
175,2020-04-01,AZ,Graham,73,US
176,2020-04-01,AZ,Greenlee,22,US
177,2020-04-01,AZ,La Paz,80,US
178,2020-04-01,AZ,Maricopa,35629,US
179,2020-04-01,AZ,Mohave,905,US
180,2020-04-01,AZ,Navajo,6556,US
181,2020-04-01,AZ,Pima,11997,US
182,2020-04-01,AZ,Pinal,3609,US
183,2020-04-01,AZ,Santa Cruz,314,US
184,2020-04-01,AZ,Yavapai,830,US
185,2020-04-01,AZ,Yuma,517,US
186,2020-04-01,CA,Alameda,15568,PR
187,2020-04-01,CA,Alpine,22,PR
188,2020-04-01,CA,Amador,87,PR
